32	41	30
32	41	0
37	44	0
38	45	0
37	50	0
26	50	0
17	46	0
15	44	0
12	39	0
15	34	0
21	32	0
12	27	0
8	22	0
8	18	0
13	14	0
20	14	0
27	16	0
31	19	0
34	22	0
35	27	0
26	22	0
21	20	0
15	20	0
13	22	0
16	26	0
22	29	0
28	31	0
30	31	0
33	34	0
32	36	0
18	36	0
16	38	0
25	43	0
27	44	0
33	44	0
30	41	0
32	41	0
32	41	30
48	35	30
48	35	0
49	36	0
51	38	0
51	39	0
51	40	0
49	41	0
47	40	0
46	36	0
47	35	0
47	35	30
45	34	30
45	34	0
43	33	0
39	29	0
38	27	0
38	20	0
41	17	0
48	22	0
48	24	0
45	22	0
42	22	0
41	24	0
45	28	0
47	33	0
48	35	0
48	35	30
56	33	30
56	33	0
50	26	0
52	18	0
53	18	0
60	26	0
61	26	0
59	18	0
61	18	0
68	25	0
67	18	0
68	17	0
69	17	0
77	23	0
76	24	0
74	23	0
73	22	0
72	25	0
76	31	0
75	33	0
73	33	0
66	26	0
67	34	0
65	34	0
56	26	0
54	26	0
58	32	0
56	33	0
56	33	30
89	35	30
89	35	0
79	27	0
79	22	0
79	20	0
81	18	0
83	18	0
88	23	0
88	18	0
89	17	0
91	17	0
98	42	0
96	24	0
94	22	0
92	22	0
92	25	0
95	30	0
95	31	0
92	31	0
87	25	0
84	23	0
83	22	0
82	22	0
82	25	0
86	29	0
95	34	0
95	35	0
89	35	0
89	35	30
105	33	30
105	33	0
100	27	0
100	19	0
102	18	0
105	21	0
105	22	0
108	25	0
109	26	0
109	25	0
109	24	0
108	21	0
108	18	0
109	17	0
110	17	0
112	18	0
118	24	0
118	25	0
117	25	0
113	22	0
112	22	0
112	24	0
116	29	0
117	31	0
116	34	0
114	34	0
106	27	0
104	25	0
103	26	0
107	31	0
107	32	0
107	33	0
105	33	0
0	0	0
